1	0.0185128	0.00173529	-0.00404809	0.00781549	-0.00165113	0.0010716922		1	0.0772784	-0.102906	0.0478072	0.001266218	-0.00692984	-0.0188737164		1	0.151828	0.0215075	0.11305	-0.0200311	0.0054753	-0.001229235		1	0.025757	0.0308845	0.2054544	0.019097	-0.003363059	-0.0008599012		1	0.0832997	-0.0193622	0.0772103	-0.0197413	-0.00227447	-0.017734332		1	0.055146	0.00755946	0.0153714	-0.02204656	-0.0128904	-0.005793979		1	0.044184	0.0466578	0.0387563	-0.0275298	0.0066789	-0.0224159628		1	0.039752	0.00326852	0.02644945	0.008771	0.00144552	-0.0122848849		1	0.0107207	0.00293194	-0.000714662	-0.0267798	0.00751659	-0.0199513776		1	0.0619697375	-0.0013318913	0.06500637	-0.0065498815	-0.0016886474	-0.0097650399		1	0.0427955626	0.0456923927	0.0674922618	0.0177120139	0.0064060084	0.0092446017
2	0.141038	0.00807899	0.058821	-0.0122083	-9.77E-05	-0.0155811216		2	0.0503652	-0.0602876	0.039922	-0.01382572	-0.00574454	-0.0206973888		2	0.143483	0.0147744	0.100542	-0.0251608	0.0072391	-0.0404278893		2	0.071318	0.0319261	0.1653432	-0.0161899	-0.0022593495	-0.0257626908		2	0.119505	-0.0321783	0.110031	-0.0435202	-0.00437997	-0.0359140584		2	0.0587959	0.00812628	0.0146722	-0.03656296	-0.00901109	-0.0059140541		2	0.067785	0.0389659	0.0623842	-0.0326317	0.0074842	-0.0310002		2	0.0473966	0.0194773	0.03614507	-0.0127435	0.006464945	-0.0231812284		2	0.0240848	0.000772167	0.00448907	-0.084931	0.0220221	-0.0502547848		2	0.0874608375	0.0036103838	0.0734825838	-0.024105385	-3.805535E-05	-0.0248098289		2	0.0405083082	0.0334500279	0.049024151	0.0122176549	0.0064220555	0.0111370695
3	0.259933	0.0228564	0.163694	-0.0416296	0.000996775	-0.0116215044		3	0.0348919	-0.00874121	0.0525934	-0.0548974	0.000470076	-0.044473858		3	0.10413	0.00444495	0.0576553	-0.0368105	0.01323355	-0.05771528		3	0.116879	0.0329677	0.125232	-0.0514768	-0.0115564	-0.0396947892		3	0.114514	-0.0229058	0.0921156	-0.0448328	0.00819123	-0.0299027784		3	0.0661366	0.00857802	0.0169976	-0.05166944	-0.00827316	-0.0147001096		3	0.091386	0.031274	0.0860121	-0.0577336	0.0102895	-0.0402677836		3	0.0550412	0.0262694	0.0584069	-0.034258	0.0148437	-0.0364296724		3	0.0253017	-0.00342404	0.00693397	-0.0832838	0.00203011	-0.0584240756		3	0.1053639625	0.0118429325	0.0815883625	-0.0466635175	0.0035244089	-0.034350722		3	0.0690158271	0.0201771184	0.0461354235	0.0086043275	0.0097999327	0.0153008929
4	0.223753	0.0307572	0.211191	-0.0434174	0.00447922	-0.0224772768		4	0.0439908	0.00239591	0.0640629	-0.0608176	0.00159166	-0.0393498336		4	0.0972857	0.00574817	0.0624813	-0.0412128	0.0149279	-0.07288768		4	0.16244	0.0340093	0.0851208	-0.0867637	-0.000519305	-0.0235537632		4	0.109964	-0.0105073	0.0838292	-0.0411029	0.0140324	-0.0204264192		4	0.0701206	0.00830359	0.0222263	-0.05382152	0.000893149	-0.019431984		4	0.114987	0.0235821	0.10964	-0.0628355	0.0190948	-0.0502187136		4	0.0626858	0.0230615	0.0553631	-0.0557725	0.01503795	-0.0449010144		4	0.0201644	-0.00648001	0.00547263	-0.06035	-0.0242833	-0.0270612672		4	0.1106533625	0.0146688088	0.086739325	-0.05571799	0.0086922218	-0.0366558356		4	0.0586259608	0.0155256896	0.0564077232	0.0152099899	0.0078351608	0.0189159406
5	0.1995	0.0378252	0.21616	-0.0442143	0.019212	-0.04512904		5	0.0560158	0.0170861	0.0727689	-0.0622118	0.00235521	-0.03532749		5	0.0933727	0.00518226	0.0871711	-0.0466176	0.0255934	-0.0541275		5	0.124764	0.0271416	0.0188055	-0.09705235	0.00832194	-0.027841143		5	0.111351	0.00377308	0.0837562	-0.0371514	0.0235614	-0.01663541		5	0.0733999	0.00502172	0.0254027	-0.0565656	0.00105926	-0.02328843		5	0.101781	0.0331701	0.0969661	-0.0634203	0.0191764	-0.05003218		5	0.0603916	0.0201919	0.0449425	-0.0843395	0.01505285	-0.05422406		5	0.0125882	-0.00845237	-0.00163779	-0.0372712	-0.0283808	-0.000428098		5	0.102572	0.018673995	0.080746625	-0.0614466063	0.0142915575	-0.0383256566		5	0.0460551269	0.0133303107	0.0619855022	0.0204494765	0.0093771763	0.0146447709
6	0.136295	0.0348782	0.169824	-0.0367864	0.0198513	-0.0362334544		6	0.0579661	0.0197085	0.0728363	-0.0541426	0.0144322	-0.0321563528		6	0.0826931	0.0101292	0.0770589	-0.0373069	0.0247384	-0.04417504		6	0.130212	0.0291906	0.0330807	-0.08976225	0.00990781	-0.0278989568		6	0.106084	0.000214681	0.0777271	-0.0382403	0.0160177	-0.0228749664		6	0.072922	0.00643082	0.0269032	-0.05662312	0.010895732	-0.0240830304		6	0.091386	0.031274	0.0860121	-0.0577336	0.0182895	-0.0455201032		6	0.053289	0.0180051	0.0322059	-0.0771705	0.0199614	-0.0484982784		6	0.0102706	-0.00857018	-0.000513039	-0.0386737	-0.0447718	0.0107387966		6	0.0913559	0.0187288876	0.071956025	-0.0559707088	0.0167617553	-0.0351800228		6	0.0309955237	0.012519037	0.0462245353	0.0193793619	0.0049729428	0.010021601
7	0.0888419	0.0342539	0.131964	-0.0322388	0.00694938	-0.0331335576		7	0.0536243	0.0184304	0.0658814	-0.0404194	0.00447932	-0.0263816784		7	0.0666022	0.0114553	0.0647876	-0.0306607	0.0180495	-0.04634964		7	0.0971736	0.0266789	0.0547689	-0.0693377	0.00927138	-0.0278120304		7	0.101751	-0.00073688	0.0762642	-0.0372573	0.01419123	-0.025807518		7	0.072161	0.00632002	0.0273773	-0.05707784	0.00913848	-0.0246084696		7	0.0731828	0.0258922	0.0661388	-0.0503138	0.0175672	-0.038232216		7	0.0526192	0.0177684	0.0268857	-0.0609605	0.01761035	-0.0471804696		7	0.0043242	-0.00563859	-0.0019148	-0.0317166	-0.0350326	0.0224334792		7	0.0757445	0.01750778	0.0642584875	-0.047283255	0.012157105	-0.0336881975		7	0.0186476901	0.0115290052	0.0329103163	0.0142871616	0.0053635447	0.0092255111
8	0.0593358	0.0322871	0.10593	-0.0298539	0.00290767	-0.0367163104		8	0.0507956	0.0172828	0.0624263	-0.0370856	0.00370561	-0.0246167152		8	0.0475427	0.00732141	0.050238	-0.0308197	0.0143999	-0.04210528		8	0.0682682	0.0230787	0.0585343	-0.05787795	0.00512687	-0.0289899456		8	0.0794725	0.00488676	0.0570797	-0.033053	-0.000615116	-0.0318802176		8	0.0666316	0.00879587	0.0274005	-0.05640816	0.00822021	-0.0262340848		8	0.0662414	0.0222144	0.0566583	-0.0464614	0.0180251	-0.0325812256		8	0.0518654	0.0172031	0.0291381	-0.0445521	0.01094895	-0.0550095392		8	-0.00763521	-0.000771427	-0.00499512	-0.0192306	-0.0192491	0.0194851888		8	0.06126915	0.0166337675	0.05592565	-0.0420139763	0.0078398993	-0.0347666648		8	0.0108503247	0.0092936049	0.0242456874	0.0111024264	0.0062888768	0.0099264075
9	0.0391882	0.0289142	0.0754473	-0.0261402	0.00273283	-0.0335776848		9	0.0470222	0.0178351	0.0577067	-0.0327568	-0.00482577	-0.024175096		9	0.0359512	0.00936923	0.0350593	-0.0249848	0.00549255	-0.0447758067		9	0.0357366	0.0184178	0.0476012	-0.03563545	0.00504446	-0.0211230188		9	0.0822797	0.0115473	0.0600908	-0.0288196	0.00383398	-0.0392428696		9	0.0581842	0.00707077	0.0270937	-0.04386216	-0.00039659	-0.0265247224		9	0.0579856	0.0195506	0.0492078	-0.03972	0.0145352	-0.0319919996		9	0.0562234	0.0135578	0.0421153	-0.0226789	0.00341156	-0.0449506728		9	-0.0161104	0.00352344	-0.00311843	-0.00144215	-0.00599089	-0.0004790423		9	0.0515713875	0.01578285	0.0492902625	-0.0318247388	0.0037285275	-0.0332952338		9	0.0156674471	0.006945796	0.0152185326	0.0075061964	0.0055152157	0.0091181525
10	0.0324102	0.0237346	0.0545969	-0.0281685	0.000969977	-0.027627996		10	0.0389329	0.0130624	0.0478311	-0.0298624	-0.0013277	-0.02516316		10	0.0344015	0.00903674	0.0301711	-0.0264102	0.002925695	-0.03886022		10	0.0336722	0.0190765	0.0399285	-0.02039728	0.000911732	-0.0229400028		10	0.0723312	0.0158287	0.0542238	-0.0303791	0.00176697	-0.039992172		10	0.0552594	0.00649943	0.0263952	-0.03252808	-0.00784403	-0.022881012		10	0.0622601	0.0172365	0.0498068	-0.0422828	0.00818159	-0.027569652		10	0.0578959	0.0100356	0.0529955	-0.01743785	-0.003303725	-0.0486222		10	-0.0189839	0.00173419	-0.00181271	0.0126342	-0.0024968	-0.0105801564		10	0.048395425	0.0143138088	0.0444936125	-0.0284332763	0.0002850636	-0.0317070519		10	0.0154003423	0.0057452169	0.0110965309	0.0075974143	0.0046896315	0.0095414336
