1	0.0066281	-0.0110314	-0.00175609	-0.00600967	0.0015738	-0.002119052	-0.0038684824		1	0.0017232	0.0046195	0.044165	0.00670361	-0.00617562	0.010207138	0.0119039256
2	0.00856961	-0.0109043	-0.00742324	-0.01267017	1.04E-03	-0.004276666	0.0244373495		2	0.00344787	0.0106097	0.0323516	0.00782904	-0.0120972	0.008428202	0.0094242684
3	0.00256648	-0.0105581	-0.00186772	-0.01302672	-0.0023241	-0.005042032	0.0137590753		3	0.0232369	0.0116318	0.00527947	0.00471804	-0.00233766	0.00850571	0.005559472
4	-0.00873969	-0.0102596	-3.74E-07	-0.023954	-0.0185215	-0.0122950329	0.0236400763		4	0.0401341	0.0113886	0.00452204	0.00703577	-0.000736076	0.0124688868	0.0069358442
5	-0.011382	-0.00747244	-0.00317726	-0.0230717	-0.0189947	-0.01281962	0.0154292854		5	0.0577419	0.00458186	0.0132091	0.00722709	0.0052452	0.01760103	0.009572856
6	-0.015525	-0.00214448	-0.0121443	-0.0261195	-0.0121766	-0.013621976	0.0144972144		6	0.0601215	0.00342386	0.0213198	0.00217873	0.00724719	0.018858216	0.0106055592
7	-0.00646134	0.000320456	-0.0127055	-0.0195776	-0.00916813	-0.0095184228	0.011166916		7	0.0233598	0.00311571	0.0231331	0.000964614	0.00850437	0.0118155188	0.0095066626
8	-0.00630086	0.000412582	-0.0117463	-0.0237719	-0.0169331	-0.0116679156	0.012952395		8	0.0189857	0.00220304	0.022696	0.004485	0.00612734	0.010899416	0.0092821592
9	-0.00513162	-0.000559037	-0.0111781	-0.0154667	-0.0123973	-0.0089465514	0.0091020745		9	0.0210185	-0.00130844	0.0218575	-0.00249381	0.00806467	0.009427684	0.0071095208
10	-0.00371429	-0.0024617	-0.00938492	-0.00383881	0.00213428	-0.003453088	0.0078452793		10	0.017916	-0.00129135	0.0171776	-0.000641504	0.00946162	0.0085244732	0.0066461678
11	-0.0103091	-0.00427616	-0.0103013	-0.00622243	0.0121812	-0.003785558	0.0045814114		11	0.0167572	-0.00110224	1.86E-02	0.00207529	0.0127666	0.00981307	0.008424244
12	-0.0101798	-0.0044982	-0.00673114	-0.00908749	0.0115665	-0.003786026	0.0028140448		12	0.0143588	0.000471192	0.0152691	0.0122214	0.0128169	0.0110274784	0.0103612141
13	-0.00521214	-0.00712308	-0.00147949	0.0146152	0.0126733	0.002694758	0.0058614423		13	0.0126319	-7.60E-05	0.0145026	0.0158523	0.00571449	0.0097250482	0.0091436779
14	-0.00512711	-0.00797772	-0.000740673	0.0128533	0.01618466	0.0030384914	0.0100562702		14	0.0115141	-0.000174635	0.0143309	0.0163581	0.00876639	0.010158971	0.0098879452
15	-0.00381236	-0.00897348	0.00233132	0.01353435	0.017971	0.004210166	0.0161528531		15	0.0125005	0.00189169	0.0106191	0.00732511	0.00190294	0.006847868	0.0057173416
16	-0.00574087	-0.00389965	0.00359691	0.00290958	0.021958	0.003764794	0.0161045928		16	0.0125833	0.000909273	0.00734416	-0.00208337	0.00246307	0.0042432866	0.0025752839
17	-0.00606892	0.00501853	0.00461702	0.0151862	0.0160802	0.006966606	0.0170343931		17	0.0124862	-0.0025141	0.00558816	0.0127668	0.00237765	0.006140942	0.0048718904
18	-0.00326506	0.00389082	0.00955269	-0.00752091	0.0112308	0.002777668	0.0156978796		18	0.0120288	-0.00264018	0.00393143	0.0202054	0.00182035	0.00706916	0.006077232
19	-0.000798605	0.00402743	0.00633559	-0.00669467	0.0204598	0.004665909	0.0107067465		19	0.0117986	-0.00441716	0.00389503	0.0151068	0.00105661	0.005487976	0.0042258512
20	0.00997092	0.000447792	0.0047383	-0.0094718	0.010141	0.0031652424	0.0088127084		20	0.00513968	-0.00543868	0.00440659	0.00379022	-0.00630385	0.000318792	-0.0006453856
